分類,施設名,所在地,緯度,経度,電話番号,FAX番号,駐車可能台数,トイレ,多目的トイレ,授乳室,AED,一次避難所,URL,主な業務・施設概要,,,,,,,,,,,,
スポーツ・レクリエーション施設,西部生涯スポーツセンター体育館,奈良県奈良市中町4860,34.670277,135.756314,0742-52-0100,―,146,○,○,―,○,―,http://www.city.nara.lg.jp/www/contents/1147673026761/index.html,【可能な競技種目】バレーボール2面、バスケットボール2面、バドミントン6面、卓球12台、テニス1面,,,,,,,,,,,,
スポーツ・レクリエーション施設,西部生涯スポーツセンターコート・球技場・ゲートボール場・クラブハウス,奈良県奈良市丸山1-905,34.667089,135.751035,0742-47-4188,―,73,○,○,―,○,―,http://www.city.nara.lg.jp/www/contents/1147739406993/index.html,"テニスコート5面4055㎡ (クレーコート3面、砂入り人工芝コート2面)、球技場8455㎡、ゲートボール場2面1717㎡ (クレー舗装)
",,,,,,,,,,,,
スポーツ・レクリエーション施設,西部生涯スポーツセンター屋内温水プール,奈良県奈良市中町4860,34.670277,135.756314,0742-51-1521,―,146,○,○,―,○,―,http://www.city.nara.lg.jp/www/contents/1147746676166/index.html,競泳用プール25m7コース、小プール,,,,,,,,,,,,
スポーツ・レクリエーション施設,南部生涯スポーツセンター体育館,奈良県奈良市杏町467-1,34.662352,135.802733,0742-61-7029,―,80,○,○,―,○,―,http://www.city.nara.lg.jp/www/contents/1147671482896/index.html,【可能な競技種目】バレーボール2面、バスケットボール1面、バドミントン6面、卓球12台、テニス1面,,,,,,,,,,,,
スポーツ・レクリエーション施設,南部生涯スポーツセンターコート・球技場・多目的コート,奈良県奈良市杏町467-1 ,34.662352,135.802733,0742-61-7029,―,80,○,○,―,○,―,http://www.city.nara.lg.jp/www/contents/1147681562259/index.html,テニスコート2面1461.70㎡(クレー舗装)、球技場9136.44㎡、多目的コート1053.36㎡,,,,,,,,,,,,
スポーツ・レクリエーション施設,平城第一コート・球技場,奈良県奈良市左京2-1,34.710697,135.803541,0742-71-5662,―,15,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1147677922371/index.html,テニスコート2面1458.00㎡(クレー舗装)、球技場7092.18㎡,,,,,,,,,,,,
スポーツ・レクリエーション施設,平城第二コート・球技場,奈良県奈良市朱雀2-12,34.718126,135.795957,0742-71-5662,―,8,○,―,―,○,―,http://www.city.nara.lg.jp/www/contents/1147678248132/index.html,テニスコート4面3879.805㎡(クレー舗装)、球技場10716.160㎡,,,,,,,,,,,,
スポーツ・レクリエーション施設,登美ヶ丘球技場,奈良県奈良市北登美ケ丘1-1761-2,34.722982,135.75416,0742-71-5662,―,12,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1147680676384/index.html,球技場6133.30㎡,,,,,,,,,,,,
スポーツ・レクリエーション施設,奈良阪球技場,奈良県奈良市奈良阪町1367,34.704823,135.821421,0742-26-2996,―,20,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1147681167620/index.html,球技場15000㎡,,,,,,,,,,,,
スポーツ・レクリエーション施設,緑ヶ丘球場,奈良県奈良市奈良阪町2851,34.707376,135.848703,0742-26-2996,―,52,○,○,―,―,―,http://www.city.nara.lg.jp/www/contents/1147742761938/index.html,グラウンド面積10754.40㎡,,,,,,,,,,,,
スポーツ・レクリエーション施設,中ノ川球技場,奈良県奈良市芝辻町556-1,34.704484,135.862099,0742-26-2996,―,30,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1147680334215/index.html,球技場11267㎡,,,,,,,,,,,,
スポーツ・レクリエーション施設,黒谷コート・球技場,奈良県奈良市中町2877,34.673865,135.731369,0742-52-0100,―,40,○,―,―,○,―,http://www.city.nara.lg.jp/www/contents/1147676570365/index.html,"テニスコート3面2340㎡(クレー舗装)、球技場11649㎡
",,,,,,,,,,,,
スポーツ・レクリエーション施設,柏木コート・球技場,奈良県奈良市柏木町255-1,34.666378,135.796774,0742-34-3585,―,20,○,―,―,○,―,http://www.city.nara.lg.jp/www/contents/1147676341325/index.html,"テニスコート4800㎡(クレー舗装6面)、球技場11000㎡(夜間照明設備完備)
",,,,,,,,,,,,
スポーツ・レクリエーション施設,青山コート,奈良県奈良市青山3-2,34.70655,135.834572,0742-26-2996,―,50,○,―,―,○,―,http://www.city.nara.lg.jp/www/contents/1147675660815/index.html,テニスコート3面1872㎡(ハードコート全天候型),,,,,,,,,,,,
スポーツ・レクリエーション施設,佐保山コート,奈良県奈良市佐保台2-902-374 ,34.706725,135.81736,0742-26-2996,―,0,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1147675942004/index.html,テニスコート2面1458㎡(砂入り人工芝),,,,,,,,,,,,
スポーツ・レクリエーション施設,ならでん鴻ノ池コート(鴻ノ池コート),奈良県奈良市法蓮佐保山4-9-1,34.701389,135.829916,0742-27-4880,―,49,○,○,―,○,―,http://www.city.nara.lg.jp/www/contents/1147675470700/index.html,テニスコート10面6550㎡(クレーコート1面、砂入り人工芝コート9面),,,,,,,,,,,,
スポーツ・レクリエーション施設,青山プール,奈良県奈良市青山3-2,34.706728,135.833771,0742-26-2996,―,50,○,○,―,○,―,http://www.city.nara.lg.jp/www/contents/1372142704552/index.html,競泳用プール25m7コース、幼児用プール※夏期のみ営業,,,,,,,,,,,,
スポーツ・レクリエーション施設,ならやま屋内温水プール,奈良県奈良市左京5-3-1,34.715816,135.809836,0742-71-0774,0742-71-0773,126,○,○,―,○,―,http://www.narashi-shakyo.com/html/sougou04.htm,競泳用プール25m6コース、小プール※ならやま屋内温水プールは、明るく健康的な社会づくりを目指し、利用者の健康の維持・増進及び障がい者の機能回復、また、利用者相互の「ふれあいの場」として、子どもから高齢者まで気軽に利用していただける施設です。,,,,,,,,,,,,
スポーツ・レクリエーション施設,ならやまコミュニティスポーツ会館,奈良県奈良市朱雀2-12,34.719323,135.795884,0742-72-0414,―,10,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1147752761278/index.html,【使用可能な主な競技等】バレーボール、バスケットボール、バドミントン、卓球、その他会議室等に使用できます。,,,,,,,,,,,,
スポーツ・レクリエーション施設,狭川コミュニティスポーツ広場,奈良県奈良市下狭川町2882-2,34.734742,135.916682,0742-34-5376,―,37,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1147754507399/index.html,グラウンド面積6453.37㎡,,,,,,,,,,,,
スポーツ・レクリエーション施設,高の原コミュニティスポーツ会館,奈良県奈良市神功3-6,34.718914,135.778247,0742-71-4411,―,8,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1147754152400/index.html,【使用可能な主な競技等】バレーボール、バスケットボール、バドミントン、卓球、その他会議室等に使用できます。,,,,,,,,,,,,
スポーツ・レクリエーション施設,七条コミュニティスポーツ会館,奈良県奈良市七条1-2-1,34.66447,135.783454,0742-34-5376,―,31,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1147748453338/index.html,【使用可能な主な競技等】バレーボール、バスケットボール、バドミントン、卓球、その他会議室等に使用できます。,,,,,,,,,,,,
スポーツ・レクリエーション施設,田原コミュニティスポーツ広場,奈良県奈良市横田町203-1,34.660719,135.91072,0742-34-5376,―,35,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1147755201468/index.html,グラウンド面積5100㎡,,,,,,,,,,,,
スポーツ・レクリエーション施設,東市コミュニティスポーツ会館,奈良県奈良市古市町265-1,34.655248,135.840496,0742-34-5376,―,5,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1147753071256/index.html,【使用可能な主な競技等】バレーボール、バスケットボール、バドミントン、卓球、その他会議室等に使用できます。,,,,,,,,,,,,
スポーツ・レクリエーション施設,南紀寺コミュニティスポーツ会館,奈良県奈良市南紀寺町5-54-1,34.666075,135.833361,0742-34-5376,―,3,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1147751984811/index.html,【使用可能な主な競技等】バレーボール、バスケットボール、バドミントン、卓球、その他会議室等に使用できます。,,,,,,,,,,,,
スポーツ・レクリエーション施設,邑地コミュニティスポーツ広場,奈良県奈良市邑地町469,34.715743,135.979536,0742-34-5376,―,40,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1147747334009/index.html,グラウンド面積5070㎡,,,,,,,,,,,,
スポーツ・レクリエーション施設,八条コミュニティスポーツ広場,奈良県奈良市八条1-814-4,34.664219,135.80391,0742-34-5376,―,0,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1329957334964/index.html,グラウンド面積7220㎡,,,,,,,,,,,,
スポーツ・レクリエーション施設,都祁生涯スポーツセンターコート・球技場・多目的コート・クラブハウス,奈良県奈良市都祁馬場町846-5,34.62767,135.95312,0743-84-2004,―,105,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1267750791515/index.html,テニスコート4面2650㎡(砂入り人工芝コート)、球技場17500㎡、多目的コート1156㎡,,,,,,,,,,,,
スポーツ・レクリエーション施設,石打コミュニティスポーツプール,奈良県奈良市月ヶ瀬石打505-1,34.72179,136.061559,―,―,0,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1147747004844/index.html,25mプール※夏期のみ営業,,,,,,,,,,,,
人権関連施設,東之阪共同浴場,奈良県奈良市東之阪町14-4,34.69528,135.835274,―,―,0,○,―,―,―,―,―,地域住民の衛生思想の向上を図り、もって生活環境の改善に資する。,,,,,,,,,,,,
人権関連施設,横井共同浴場,奈良県奈良市横井2-250-13,34.65214,135.83163,―,―,0,○,―,―,―,―,―,地域住民の衛生思想の向上を図り、もって生活環境の改善に資する。,,,,,,,,,,,,
人権関連施設,古市西共同浴場,奈良県奈良市古市町1503-1,34.664064,135.835106,―,―,5,○,―,―,―,―,―,地域住民の衛生思想の向上を図り、もって生活環境の改善に資する。,,,,,,,,,,,,
人権関連施設,杏中共同浴場,奈良県奈良市杏町386-1,34.661665,135.800541,―,―,0,○,―,―,―,―,―,地域住民の衛生思想の向上を図り、もって生活環境の改善に資する。,,,,,,,,,,,,
人権関連施設,北人権文化センター,奈良県奈良市川上町418-1,34.696206,135.837072,0742-22-7776,0742-22-7727,17,○,―,―,―,○,http://www.city.nara.lg.jp/www/genre/0000000000000/1242096270293/index.html,「守ろう人権・咲かそう文化、地域からのまちづくり」をテーマに「地域交流」「世代間交流」「文化交流」の3つの交流を中心に、あらゆる人権の確立された社会の構築を目指して取り組んでいます。,,,,,,,,,,,,
人権関連施設,中人権文化センター,奈良県奈良市畑中町4-4,34.686931,135.820167,0742-27-3019,0742-27-3019,0,○,○,―,―,○,http://www.city.nara.lg.jp/www/genre/0000000000000/1244509037143/index.html,センターを広く開放し、地域の交流とふれあいを大切にしています。,,,,,,,,,,,,
人権関連施設,東人権文化センター,奈良県奈良市古市町1226,34.663317,135.834755,0742-61-2236,0742-61-2148,20,○,―,―,○,○,http://www.city.nara.lg.jp/www/genre/0000000000000/1244518086383/index.html,2004年(平成16年)7月にリニューアルオープンし、「出会い、ふれあい、学びあい」をモットーに、「福祉と人権のまちづくり」の拠点施設をめざしています。また、各種会議やサークル活動の場として利用していただくことができます。皆様のお越しをお待ちしています。,,,,,,,,,,,,
人権関連施設,南人権文化センター,奈良県奈良市杏町401-1,34.661353,135.800547,0742-61-2029,0742-61-2029,9,○,―,―,―,○,http://www.city.nara.lg.jp/www/genre/0000000000000/1244518608860/index.html,ものづくりから人づくリを進め、多くの人たちとの交流の輪をひろげ、優しさとふれあいのある福祉と人権のまちづくりを目指して、毎月「幸齢者ふれあい交流会」を開催し、地元と周辺地域の住民との交流を図っています。,,,,,,,,,,,,
男女共同参画センター,男女共同参画センター,奈良県奈良市西之阪町12,34.683282,135.822516,0742-81-3100,0742-25-0600,0,○,○,―,○,○,http://www.city.nara.lg.jp/www/genre/0000000000000/1000000000372/index.html,男女の人権の確立を図り、社会のあらゆる分野へ男女が対等に参画し、それぞれの能力を発揮できる豊かで活力ある男女共同参画社会の形成を推進することを目的とする施設です。主に講座の開設、相談事業、登録団体への貸し室をしています。,,,,,,,,,,,,
福祉施設,若草地域包括支援センター,奈良県奈良市芝辻町1-21,34.685634,135.821926,0742-25-2345,0742-25-2346,1,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1213938336821/,社会福祉士、保健師、主任介護支援専門員などが配置されており、専門性を生かしたマネジメント(相談支援)を行います。担当小学校区はおおむね「鼓阪北、鼓阪、佐保」です。,,,,,,,,,,,,
福祉施設,三笠地域包括支援センター,奈良県奈良市二条大路南1-3-1イトーヨーカドー奈良店5F,34.685235,135.802094,0742-33-6622,0742-30-6380,1360,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1213938336821/,社会福祉士、保健師、主任介護支援専門員などが配置されており、専門性を生かしたマネジメント(相談支援)を行います。担当小学校区はおおむね「大宮、佐保川、椿井、大安寺西」です。,,,,,,,,,,,,
福祉施設,春日・飛鳥地域包括支援センター,奈良県奈良市西木辻町110-4,34.673522,135.824689,0742-20-2516,0742-20-2517,2,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1213938336821/,社会福祉士、保健師、主任介護支援専門員などが配置されており、専門性を生かしたマネジメント(相談支援)を行います。担当小学校区はおおむね「済美、済美南、大安寺、飛鳥」です。,,,,,,,,,,,,
福祉施設,都南地域包括支援センター,奈良県奈良市古市町1327-6フォレストヒルズ奈良,34.660486,135.833033,0742-50-2288,0742-61-2299,3,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1213938336821/,社会福祉士、保健師、主任介護支援専門員などが配置されており、専門性を生かしたマネジメント(相談支援)を行います。担当小学校区はおおむね「辰市、明治、東市、帯解、精華」です。,,,,,,,,,,,,
福祉施設,北部地域包括支援センター,奈良県奈良市右京1-3-4サンタウンプラザすずらん館2F,34.722526,135.789311,0742-70-6777,0742-70-6778,550,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1213938336821/,社会福祉士、保健師、主任介護支援専門員などが配置されており、専門性を生かしたマネジメント(相談支援)を行います。担当小学校区はおおむね「神功、右京、朱雀、左京、佐保台、平城西、平城」です。,,,,,,,,,,,,
福祉施設,京西・都跡地域包括支援センター,奈良県奈良市六条2-2-10,34.668319,135.776893,0742-52-3010,0742-48-7234,3,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1213938336821/,社会福祉士、保健師、主任介護支援専門員などが配置されており、専門性を生かしたマネジメント(相談支援)を行います。担当小学校区はおおむね「伏見南、六条、都跡」です。,,,,,,,,,,,,
福祉施設,伏見地域包括支援センター,奈良県奈良市西大寺新町1-1-1河辺ビル1F,34.696503,135.781414,0742-45-1671,0742-45-1675,2,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1213938336821/,社会福祉士、保健師、主任介護支援専門員などが配置されており、専門性を生かしたマネジメント(相談支援)を行います。担当小学校区はおおむね「あやめ池(学園南以外)、西大寺北、伏見」です。,,,,,,,,,,,,
福祉施設,二名地域包括支援センター,奈良県奈良市鶴舞東町1-20-2,34.702606,135.75121,0742-43-1280,0742-43-1281,2,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1213938336821/,"社会福祉士、保健師、主任介護支援専門員などが配置されており、専門性を生かしたマネジメント(相談支援)を行います。担当小学校区はおおむね「鶴舞、青和、二名、
富雄北」です。",,,,,,,,,,,,
福祉施設,登美ヶ丘地域包括支援センター,奈良県奈良市中登美ケ丘1-1994-3-D20-104,34.717377,135.749037,0742-51-0012,0742-51-0013,10,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1213938336821/,社会福祉士、保健師、主任介護支援専門員などが配置されており、専門性を生かしたマネジメント(相談支援)を行います。担当小学校区はおおむね「東登美ヶ丘、登美ヶ丘」です。,,,,,,,,,,,,
福祉施設,富雄東地域包括支援センター,奈良県奈良市大倭町2-22,34.681273,135.757875,0742-52-2051,0742-46-2012,2,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1213938336821/,社会福祉士、保健師、主任介護支援専門員などが配置されており、専門性を生かしたマネジメント(相談支援)を行います。担当小学校区はおおむね「鳥見、富雄第三、三碓、富雄南、あやめ池(学園南)」です。,,,,,,,,,,,,
福祉施設,東部地域包括支援センター,奈良県奈良市茗荷町774-1,34.655374,135.901353,0742-81-5720,0742-81-5721,20,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1213938336821/,社会福祉士、保健師、主任介護支援専門員などが配置されており、専門性を生かしたマネジメント(相談支援)を行います。担当小学校区はおおむね「田原、柳生、興東、並松、都祁、吐山、六郷、月ヶ瀬」です。,,,,,,,,,,,,
福祉施設,平城地域包括支援センター,奈良県奈良市押熊町397-1梅守ハイツ1F,34.715407,135.772227,0742-53-7757,0742-53-7758,2,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1213938336821/,社会福祉士、保健師、主任介護支援専門員などが配置されており、専門性を生かしたマネジメント(相談支援)を行います。担当小学校区はおおむね「大宮、佐保川、椿井、大安寺西」です。,,,,,,,,,,,,
福祉施設,富雄西地域包括支援センター,奈良県奈良市鳥見町4-3-1富雄団地49-101,34.69433,135.722366,0742-44-6541,0742-44-6542,2,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1213938336821/,社会福祉士、保健師、主任介護支援専門員などが配置されており、専門性を生かしたマネジメント(相談支援)を行います。担当小学校区はおおむね「済美、済美南、大安寺、飛鳥」です。,,,,,,,,,,,,
福祉施設,月ヶ瀬福祉センター,奈良県奈良市月ヶ瀬尾山1124,34.714821,136.048147,0743-92-0204,0743-92-0967,74,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1147082988764/index.html,地域の福祉ゾーンの中心的施設として生まれたこのセンターは、多くの住民参加の福祉の拠点となっています。,,,,,,,,,,,,
福祉施設,都祁福祉センター,奈良県奈良市藺生町1922-8,34.591573,135.94232,0743-82-2624,0743-82-2625,75,○,―,―,○,―,http://www.city.nara.lg.jp/www/contents/1147086447240/index.html,市民のみなさまの「ふれあいの場」として、子どもからお年寄りまで広くご利用いただける施設です。,,,,,,,,,,,,
福祉施設,総合福祉センター,奈良県奈良市左京5-3-1,34.715446,135.809857,0742-71-0770,0742-71-0773,46,○,○,―,○,―,http://www.narashi-shakyo.com/html/sougou.htm,このセンターは、障がいを持つ人のための相談・医療・訓練・作業・スポーツ、レクリエーションなどをはじめとする一貫したリハビリテーション機能を持つ総合施設です。また、障がい者団体やボランティアの活動拠点であり、市民とのふれあいの場でもあります。,,,,,,,,,,,,
福祉施設,東福祉センター,奈良県奈良市法蓮町1702-1,34.694818,135.825343,0742-24-3151,0742-27-9028,32,○,―,―,○,―,http://www.narashi-shakyo.com/html/rouzin01.htm,市勢の伸展に貢献された高齢者のみなさんに教養の向上、レクリエーションなどのための便宜を提供し、心豊かに楽しく過ごしていただくための施設です。有料室や浴室の利用、コーラス、健康体操、軽スポーツ、健康講座などを行っております。,,,,,,,,,,,,
福祉施設,西福祉センター,奈良県奈良市百楽園1-9-13,34.698481,135.7439,0742-41-3151,0742-41-3150,60,○,―,―,○,―,http://www.narashi-shakyo.com/html/rouzin02.htm,市勢の伸展に貢献された高齢者のみなさんに教養の向上、レクリエーションなどのための便宜を提供し、心豊かに楽しく過ごしていただくための施設です。有料室や浴室の利用、コーラス、健康体操、軽スポーツ、健康講座などを行っております。,,,,,,,,,,,,
福祉施設,南福祉センター,奈良県奈良市南永井町45-1,34.647988,135.825898,0742-62-3730,0742-62-3780,30,○,―,―,○,―,http://www.narashi-shakyo.com/html/rouzin04.html,市勢の伸展に貢献された高齢者のみなさんに教養の向上、レクリエーションなどのための便宜を提供し、心豊かに楽しく過ごしていただくための施設です。有料室や浴室の利用、コーラス、健康体操、軽スポーツ、健康講座などを行っております。,,,,,,,,,,,,
福祉施設,北福祉センター,奈良県奈良市右京1-1-4北部会館2F,34.721911,135.790983,0742-71-3501,0742-71-3548,47,○,―,―,○,―,http://www.narashi-shakyo.com/html/rouzin03.htm,市勢の伸展に貢献された高齢者のみなさんに教養の向上、レクリエーションなどのための便宜を提供し、心豊かに楽しく過ごしていただくための施設です。有料室や浴室の利用、コーラス、健康体操、軽スポーツ、健康講座などを行っております。,,,,,,,,,,,,
福祉施設,東里老人憩の家,奈良県奈良市須川町776,34.716405,135.910322,―,―,0,○,―,―,―,―,―,地域の高齢者のみなさんに、教養の向上、レクリエーション等のための場を提供し、老人の心身の健康の増進を図るための施設です。,,,,,,,,,,,,
福祉施設,鳥見老人憩の家,奈良県奈良市鳥見町4-4,34.696528,135.72242,―,―,0,○,―,―,―,―,―,地域の高齢者のみなさんに、教養の向上、レクリエーション等のための場を提供し、老人の心身の健康の増進を図るための施設です。,,,,,,,,,,,,
福祉施設,登美ヶ丘老人憩の家,奈良県奈良市中登美ヶ丘1-1994-3,34.71672,135.749473,―,―,0,○,―,―,―,―,―,地域の高齢者のみなさんに、教養の向上、レクリエーション等のための場を提供し、老人の心身の健康の増進を図るための施設です。,,,,,,,,,,,,
福祉施設,横井老人憩の家,奈良県奈良市横井1-620-1,34.653293,135.832223,―,―,0,○,―,―,―,―,―,地域の高齢者のみなさんに、教養の向上、レクリエーション等のための場を提供し、老人の心身の健康の増進を図るための施設です。,,,,,,,,,,,,
福祉施設,杏南老人憩の家,奈良県奈良市杏町424-6,34.659523,135.800777,―,―,0,○,―,―,―,―,―,地域の高齢者のみなさんに、教養の向上、レクリエーション等のための場を提供し、老人の心身の健康の増進を図るための施設です。,,,,,,,,,,,,
福祉施設,杏中老人憩の家,奈良県奈良市杏町387-12 ,34.662047,135.800516,―,―,0,○,―,―,―,―,―,地域の高齢者のみなさんに、教養の向上、レクリエーション等のための場を提供し、老人の心身の健康の増進を図るための施設です。,,,,,,,,,,,,
福祉施設,八条老人憩の家,奈良県奈良市八条1-823,34.663788,135.803647,―,―,0,○,―,―,―,―,―,地域の高齢者のみなさんに、教養の向上、レクリエーション等のための場を提供し、老人の心身の健康の増進を図るための施設です。,,,,,,,,,,,,
福祉施設,東之阪老人憩の家,奈良県奈良市東之阪町5-60,34.695372,135.83574,―,―,0,○,―,―,―,―,―,地域の高齢者のみなさんに、教養の向上、レクリエーション等のための場を提供し、老人の心身の健康の増進を図るための施設です。,,,,,,,,,,,,
福祉施設,田原老人憩の家,奈良県奈良市横田町191-1,34.661842,135.910973,―,―,0,○,―,―,―,―,―,地域の高齢者のみなさんに、教養の向上、レクリエーション等のための場を提供し、老人の心身の健康の増進を図るための施設です。,,,,,,,,,,,,
福祉施設,狭川老人憩の家,奈良県奈良市西狭川町1088-1,34.73068,135.910956,―,―,0,○,―,―,―,―,―,地域の高齢者のみなさんに、教養の向上、レクリエーション等のための場を提供し、老人の心身の健康の増進を図るための施設です。,,,,,,,,,,,,
福祉施設,古市老人憩の家,奈良県奈良市古市町1482-2,34.664419,135.835002,―,―,0,○,―,―,―,―,―,地域の高齢者のみなさんに、教養の向上、レクリエーション等のための場を提供し、老人の心身の健康の増進を図るための施設です。,,,,,,,,,,,,
福祉施設,大柳生老人憩の家,奈良県奈良市大柳生町1990,34.704438,135.929619,―,―,0,○,―,―,―,―,―,地域の高齢者のみなさんに、教養の向上、レクリエーション等のための場を提供し、老人の心身の健康の増進を図るための施設です。,,,,,,,,,,,,
福祉施設,柳生老人憩の家,奈良県奈良市興ヶ原町670-1,34.736254,135.97238,―,―,0,○,―,―,―,―,―,地域の高齢者のみなさんに、教養の向上、レクリエーション等のための場を提供し、老人の心身の健康の増進を図るための施設です。,,,,,,,,,,,,
福祉施設,梅園老人憩の家,奈良県奈良市紀寺町568-7,34.671681,135.833608,―,―,0,○,―,―,―,―,―,地域の高齢者のみなさんに、教養の向上、レクリエーション等のための場を提供し、老人の心身の健康の増進を図るための施設です。,,,,,,,,,,,,
福祉施設,西之阪老人憩の家,奈良県奈良市西之阪町5-1,34.682617,135.822574,―,―,0,○,―,―,―,―,―,地域の高齢者のみなさんに、教養の向上、レクリエーション等のための場を提供し、老人の心身の健康の増進を図るための施設です。,,,,,,,,,,,,
福祉施設,畑中老人憩の家,奈良県奈良市畑中町4-4,34.686931,135.820167,―,―,0,○,―,―,―,―,―,地域の高齢者のみなさんに、教養の向上、レクリエーション等のための場を提供し、老人の心身の健康の増進を図るための施設です。,,,,,,,,,,,,
福祉施設,石打老人憩の家,奈良県奈良市月ヶ瀬石打1171-1,34.722548,136.062517,―,―,0,○,―,―,―,―,―,地域の高齢者のみなさんに、教養の向上、レクリエーション等のための場を提供し、老人の心身の健康の増進を図るための施設です。,,,,,,,,,,,,
福祉施設,桃香野老人憩の家,奈良県奈良市月ヶ瀬桃香野1197,34.706267,136.002462,―,―,0,○,―,―,―,―,―,地域の高齢者のみなさんに、教養の向上、レクリエーション等のための場を提供し、老人の心身の健康の増進を図るための施設です。,,,,,,,,,,,,
福祉施設,尾山老人憩の家,奈良県奈良市月ヶ瀬尾山348-3,34.713321,136.043287,―,―,0,○,―,―,―,―,―,地域の高齢者のみなさんに、教養の向上、レクリエーション等のための場を提供し、老人の心身の健康の増進を図るための施設です。,,,,,,,,,,,,
福祉施設,田原老人軽作業場,奈良県奈良市茗荷町1171,34.655793,135.90519,―,―,0,○,―,―,―,―,―,高齢者の知識、経験及び趣味を生かした郷土民芸品の作製によって、生きがいを与えることを目的とした施設です。,,,,,,,,,,,,
福祉施設,並松老人軽作業場,奈良県奈良市藺生町186-7,34.595358,135.941703,―,―,0,○,―,―,―,―,―,高齢者の知識、経験及び趣味を生かした郷土民芸品の作製によって、生きがいを与えることを目的とした施設です。,,,,,,,,,,,,
幼稚園,飛鳥幼稚園,奈良県奈良市紀寺町826,34.674651,135.839255,0742-23-4249,0742-23-4249,―,○,―,―,○,―,"http://www.naracity.ed.jp/kin01/index.cfm/6,html",―,,,,,,,,,,,,
幼稚園,済美幼稚園,奈良県奈良市西木辻町28,34.675473,135.822399,0742-22-7077,0742-22-7077,―,○,―,―,―,―,"http://www.naracity.ed.jp/kin01/index.cfm/8,html",―,,,,,,,,,,,,
幼稚園,佐保幼稚園,奈良県奈良市法蓮町757-8,34.692999,135.821231,0742-22-7078,0742-22-7078,―,○,―,―,○,―,"http://www.naracity.ed.jp/kin01/index.cfm/9,html",―,,,,,,,,,,,,
